mjd,ra_deg,dec_deg,EL,elong,r,delta,utc
61002.27083333302,111.34676,9.80492,23.192324,128.3061,17.16730423713,16.5375119583323,2025-Nov-23 06:30
61002.29166666698,111.34594,9.80488,29.441751,128.3274,17.1674245041,16.5373563841739,2025-Nov-23 07:00
61002.3125,111.34511,9.80484,35.619739,128.3487,17.16754477063,16.5372011877981,2025-Nov-23 07:30
61002.33333333302,111.34429,9.8048,41.670738,128.3701,17.16766503671,16.5370464359909,2025-Nov-23 08:00
61002.35416666698,111.34346,9.80476,47.515272,128.3914,17.16778530235,16.5368921893537,2025-Nov-23 08:30
61003.27083333302,111.30715,9.80298,24.04568,129.3165,17.17307655873,16.5303407772984,2025-Nov-24 06:30
61003.29166666698,111.3063,9.80294,30.288059,129.3378,17.17319680501,16.530189371781,2025-Nov-24 07:00
61003.3125,111.30546,9.80291,36.452389,129.3591,17.17331705084,16.530038355484,2025-Nov-24 07:30
61003.33333333302,111.30462,9.80287,42.480579,129.3804,17.17343729624,16.5298877944155,2025-Nov-24 08:00
61003.35416666698,111.30377,9.80284,48.288754,129.4017,17.17355754119,16.5297377482505,2025-Nov-24 08:30
61004.27083333302,111.26671,9.80129,24.89922,130.3267,17.17884788759,16.5233702334458,2025-Nov-25 06:30
61004.29166666698,111.26585,9.80126,31.133746,130.348,17.17896811319,16.5232230934347,2025-Nov-25 07:00
61004.3125,111.26499,9.80123,37.283344,130.3694,17.17908833835,16.5230763539429,2025-Nov-25 07:30
61004.33333333302,111.26413,9.8012,43.287176,130.3907,17.17920856307,16.5229300801788,2025-Nov-25 08:00
61004.35416666698,111.26326,9.80117,49.056629,130.412,17.17932878734,16.5227843308707,2025-Nov-25 08:30
61005.27083333302,111.22547,9.79986,25.752833,131.3368,17.18461822423,16.5166048542267,2025-Nov-26 06:30
61005.29166666698,111.2246,9.79983,31.978674,131.3581,17.18473842916,16.5164620741189,2025-Nov-26 07:00
61005.3125,111.22372,9.79981,38.112413,131.3794,17.18485863366,16.5163197056833,2025-Nov-26 07:30
61005.33333333302,111.22284,9.79978,44.09025,131.4008,17.18497883771,16.5161778133071,2025-Nov-26 08:00
61005.35416666698,111.22196,9.79976,49.818467,131.4221,17.18509904131,16.5160364547519,2025-Nov-26 08:30
61006.25,111.18434,9.7987,20.338898,132.3253,17.19026738444,16.5101877268502,2025-Nov-27 06:00
61006.27083333302,111.18345,9.79868,26.606403,132.3466,17.19038756915,16.5100490449447,2025-Nov-27 06:30
61006.29166666698,111.18255,9.79866,32.822697,132.3679,17.19050775343,16.5099107164918,2025-Nov-27 07:00
61006.3125,111.18166,9.79864,38.939394,132.3892,17.19062793727,16.5097728107111,2025-Nov-27 07:30
61006.33333333302,111.18076,9.79862,44.889504,132.4105,17.19074812066,16.5096353911468,2025-Nov-27 08:00
61007.25,111.14155,9.79777,21.196889,133.3347,17.19603575882,16.5038412330292,2025-Nov-28 06:00
61007.27083333302,111.14065,9.79776,27.459813,133.356,17.19615592289,16.5037070801553,2025-Nov-28 06:30
